,Unnamed: 0,High,Low,Open,Close,Datetime,ama,rsi,atr,signal,closest_expiry,dby,position,atmSP,wingCall,wingPut,legPriceOrignal1,legPriceOrignal2,legPriceOrignal3,legPriceOrignal4,lpos1,lpos2,lpos3,lpos4,legAfterPos1,legAfterPos2,legAfterPos3,legAfterPos4,legAfterPosDiff1,legAfterPosDiff2,legAfterPosDiff3,legAfterPosDiff4,legPriceFinal1,legPriceFinal2,legPriceFinal3,legPriceFinal4,m2m1,m2m2,m2m3,m2m4,totalPL,cumReturns,balance,stoploss
20,20,17628.2,17607.15,17612.7,17622.5,2022-01-03 14:15:00+05:30,17461.145180058003,84.57967250953588,18.62499999999974,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,174.55,54.7,13.75,9.95,-1.0,-1.0,1.0,1.0,-174.55,-54.7,13.75,9.95,0.0,0.0,0.0,0.0,-158.85,-61.2,10.3,10.5,15.700000000000017,-6.5,-3.4499999999999993,0.5500000000000007,-315.0000000000009,-1087.5000000000011,98912.5,-2787.5000000000005
21,21,17646.65,17616.25,17623.4,17632.25,2022-01-03 14:30:00+05:30,17468.763514936585,85.47375148094773,19.6928571428572,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,181.6,59.6,17.45,10.4,-1.0,-1.0,1.0,1.0,-181.6,-59.6,17.45,10.4,0.0,0.0,0.0,0.0,-174.55,-54.7,13.75,9.95,7.049999999999983,4.899999999999999,-3.6999999999999993,-0.45000000000000107,-389.99999999999903,-1477.5000000000002,98522.5,-2787.5000000000005
22,22,17638.35,17610.15,17631.85,17617.35,2022-01-03 14:45:00+05:30,17476.282098146778,78.02814777342137,20.617857142856987,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,195.05,54.9,19.0,10.05,-1.0,-1.0,1.0,1.0,-195.05,-54.9,19.0,10.05,0.0,0.0,0.0,0.0,-181.6,-59.6,17.45,10.4,13.450000000000017,-4.700000000000003,-1.5500000000000007,0.34999999999999964,-377.5000000000007,-1855.000000000001,98145.0,-2787.5000000000005
23,23,17635.35,17604.8,17619.65,17621.1,2022-01-03 15:00:00+05:30,17483.68327798831,78.53493885544879,21.28214285714265,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17500.0,17900.0,17100.0,187.5,56.15,16.9,9.25,-1.0,-1.0,1.0,1.0,-187.5,-56.15,16.9,9.25,0.0,0.0,0.0,0.0,-195.05,-54.9,19.0,10.05,-7.550000000000011,1.25,2.1000000000000014,0.8000000000000007,170.00000000000045,-1685.0000000000005,98315.0,-2787.5000000000005
24,24,17640.2,17617.7,17620.9,17630.45,2022-01-03 15:15:00+05:30,17491.005730804503,79.78681692245684,22.182142857142804,Hold,2022-01-06 00:00:00+00:00,06JAN22,squareoff,17500.0,17900.0,17100.0,187.0,57.4,18.05,9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,57.4,-18.05,-9.05,-0.5,1.25,-1.1500000000000021,0.1999999999999993,-0.5,1.25,-1.1500000000000021,0.1999999999999993,10.000000000000142,-1675.0000000000002,98325.0,
25,25,17715.45,17647.55,17681.5,17704.3,2022-01-04 09:15:00+05:30,17513.50590272771,85.49271179490923,26.557142857143067,Hold,2022-01-06 00:00:00+00:00,06JAN22,hold,17500.0,17900.0,17100.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,98325.0,
26,26,17704.4,17593.55,17703.5,17647.2,2022-01-04 09:30:00+05:30,17521.104959020813,65.91804692580772,33.44642857142883,Hold,2022-01-06 00:00:00+00:00,06JAN22,hold,17500.0,17900.0,17100.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,98325.0,
27,27,17695.3,17646.65,17646.65,17695.3,2022-01-04 09:45:00+05:30,17528.86110228786,71.77970457485378,36.08571428571434,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17700.0,18000.0,17400.0,81.1,113.9,11.1,21.8,-1.0,-1.0,1.0,1.0,-81.1,-113.9,11.1,21.8,,,,,,,,,0.0,0.0,0.0,0.0,-0.0,0.0,98325.0,
28,28,17720.05,17689.65,17696.4,17715.15,2022-01-04 10:00:00+05:30,17536.84322762183,73.7835746870869,37.30357142857117,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17700.0,18000.0,17400.0,90.25,92.8,11.25,17.2,-1.0,-1.0,1.0,1.0,-90.25,-92.8,11.25,17.2,0.0,0.0,0.0,0.0,-81.1,-113.9,11.1,21.8,9.150000000000006,-21.10000000000001,-0.15000000000000036,4.600000000000001,375.0000000000001,375.0000000000001,98700.0,-2625.0
29,29,17733.65,17699.15,17715.6,17709.2,2022-01-04 10:15:00+05:30,17544.873880350566,72.13021860120247,38.64285714285688,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17700.0,18000.0,17400.0,103.55,80.65,12.7,15.75,-1.0,-1.0,1.0,1.0,-103.55,-80.65,12.7,15.75,0.0,0.0,0.0,0.0,-90.25,-92.8,11.25,17.2,13.299999999999997,-12.149999999999991,-1.4499999999999993,1.4499999999999993,-57.500000000000284,317.49999999999983,98642.5,-2625.0
