,High,Low,Open,Close,Datetime,ama,rsi,atr,signal,closest_expiry,dby,position,atmSP,wingCall,wingPut,legPriceOrignal1,legPriceOrignal2,legPriceOrignal3,legPriceOrignal4,lpos1,lpos2,lpos3,lpos4,legAfterPos1,legAfterPos2,legAfterPos3,legAfterPos4,legAfterPosDiff1,legAfterPosDiff2,legAfterPosDiff3,legAfterPosDiff4,legPriceFinal1,legPriceFinal2,legPriceFinal3,legPriceFinal4,m2m1,m2m2,m2m3,m2m4,totalPL,cumReturns,balance,stoploss
2961,11697.1,11641.15,11644.15,11696.2,2019-06-18 15:00:00+05:30,11707.823450653292,49.36382486207633,23.703571428571845,Hold,2019-06-20 00:00:00+00:00,20JUN19,sell,11700.0,12000.0,11400.0,30.85,76.2,1.7,4.5,-2.0,0.0,2.0,2.0,-61.7,0.0,3.4,9.0,0.0,0.0,0.0,0.0,-88.6,0.0,4.0,5.6,-26.89999999999999,0.0,0.6000000000000001,-3.4000000000000004,1484.9999999999995,2197.4999999999995,130657.5,-802.5000000000005
2962,11706.2,11694.3,11696.45,11705.15,2019-06-18 15:15:00+05:30,11706.727435262675,51.64811129348884,23.36428571428613,Hold,2019-06-20 00:00:00+00:00,20JUN19,squareoff,11700.0,12000.0,11400.0,48.6,45.75,2.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.2,0.0,-4.0,-5.4,35.5,0.0,-0.6000000000000001,3.5999999999999996,35.5,0.0,-0.6000000000000001,3.5999999999999996,-1925.0,272.49999999999955,128732.5,
2963,11705.45,11691.5,11705.05,11691.5,2019-06-18 15:30:00+05:30,11705.697506624208,48.08527345235317,23.54285714285756,Hold,2019-06-20 00:00:00+00:00,20JUN19,hold,11700.0,12000.0,11400.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,128732.5,
2964,11787.25,11740.2,11747.55,11786.6,2019-06-19 09:15:00+05:30,11705.609934712504,66.18422409744691,28.53928571428605,Hold,2019-06-20 00:00:00+00:00,20JUN19,hold,11700.0,12000.0,11400.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,128732.5,
2965,11802.5,11783.15,11786.65,11784.5,2019-06-19 09:30:00+05:30,11706.64095451643,65.61768227201016,29.35714285714325,Hold,2019-06-20 00:00:00+00:00,20JUN19,hold,11700.0,12000.0,11400.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,128732.5,
2966,11784.95,11770.65,11784.25,11775.55,2019-06-19 09:45:00+05:30,11708.102799547942,63.13711695917058,29.632142857143272,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,34.65,46.5,2.25,3.75,-1.0,-1.0,1.0,1.0,-34.65,-46.5,2.25,3.75,,,,,,,,,0.0,0.0,0.0,0.0,-0.0,0.0,128732.5,
2967,11786.75,11772.8,11775.65,11783.15,2019-06-19 10:00:00+05:30,11709.974746489312,64.36890008244801,27.91785714285756,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,34.2,48.3,2.05,3.9,-1.0,-1.0,1.0,1.0,-34.2,-48.3,2.05,3.9,0.0,0.0,0.0,0.0,-34.65,-46.5,2.25,3.75,-0.44999999999999574,1.7999999999999972,0.20000000000000018,-0.1499999999999999,-70.00000000000009,-70.00000000000009,128662.5,-3000.0
2968,11789.6,11775.5,11782.4,11781.75,2019-06-19 10:15:00+05:30,11712.14412300348,63.94501244161693,27.52142857142904,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,33.7,46.85,1.85,3.7,-1.0,-1.0,1.0,1.0,-33.7,-46.85,1.85,3.7,0.0,0.0,0.0,0.0,-34.2,-48.3,2.05,3.9,-0.5,-1.4499999999999957,0.19999999999999973,0.19999999999999973,77.49999999999982,7.49999999999973,128740.0,-2992.5000000000005
2969,11791.65,11777.85,11781.5,11778.95,2019-06-19 10:30:00+05:30,11714.507230123476,63.050720334582245,27.5321428571433,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,32.6,47.0,1.75,3.75,-1.0,-1.0,1.0,1.0,-32.6,-47.0,1.75,3.75,0.0,0.0,0.0,0.0,-33.7,-46.85,1.85,3.7,-1.1000000000000014,0.14999999999999858,0.10000000000000009,-0.04999999999999982,45.00000000000013,52.49999999999986,128785.0,-2947.5
2970,11784.85,11777.6,11778.9,11782.2,2019-06-19 10:45:00+05:30,11717.03663226747,63.68555717236103,26.435714285714702,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,31.95,47.45,1.75,3.85,-1.0,-1.0,1.0,1.0,-31.95,-47.45,1.75,3.85,0.0,0.0,0.0,0.0,-32.6,-47.0,1.75,3.75,-0.6500000000000021,0.45000000000000284,0.0,-0.10000000000000009,14.999999999999968,67.49999999999983,128800.0,-2932.5
2971,11786.7,11761.75,11782.3,11764.45,2019-06-19 11:00:00+05:30,11719.507317843225,57.84051102090592,25.34642857142912,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,33.05,46.55,1.85,3.3,-1.0,-1.0,1.0,1.0,-33.05,-46.55,1.85,3.3,0.0,0.0,0.0,0.0,-31.95,-47.45,1.75,3.85,1.0999999999999979,-0.9000000000000057,-0.10000000000000009,0.5500000000000003,-32.499999999999616,35.00000000000021,128767.5,-2932.5
2972,11764.05,11741.5,11764.05,11747.35,2019-06-19 11:15:00+05:30,11721.750789657295,52.811760681721175,25.45714285714335,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,25.1,61.35,1.35,4.75,-1.0,-1.0,1.0,1.0,-25.1,-61.35,1.35,4.75,0.0,0.0,0.0,0.0,-33.05,-46.55,1.85,3.3,-7.949999999999996,14.800000000000004,0.5,-1.4500000000000002,-295.0000000000004,-260.00000000000017,128472.5,-2932.5
2973,11752.5,11722.5,11747.4,11723.1,2019-06-19 11:30:00+05:30,11723.56559019474,46.6214298669745,24.46071428571473,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,20.05,72.15,1.25,6.2,-1.0,-1.0,1.0,1.0,-20.05,-72.15,1.25,6.2,0.0,0.0,0.0,0.0,-25.1,-61.35,1.35,4.75,-5.050000000000001,10.800000000000004,0.10000000000000009,-1.4500000000000002,-220.00000000000014,-480.00000000000034,128252.5,-2932.5
2974,11726.55,11710.25,11722.05,11725.25,2019-06-19 11:45:00+05:30,11725.048406651496,47.21221297356482,21.628571428571767,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,13.5,98.15,1.05,11.4,-1.0,-1.0,1.0,1.0,-13.5,-98.15,1.05,11.4,0.0,0.0,0.0,0.0,-20.05,-72.15,1.25,6.2,-6.550000000000001,26.0,0.19999999999999996,-5.2,-722.5,-1202.5000000000005,127530.0,-2932.5
2975,11733.2,11706.25,11725.45,11718.75,2019-06-19 12:00:00+05:30,11726.18383256989,45.57010853419708,22.70357142857172,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,16.95,87.65,1.1,8.8,-1.0,-1.0,1.0,1.0,-16.95,-87.65,1.1,8.8,0.0,0.0,0.0,0.0,-13.5,-98.15,1.05,11.4,3.4499999999999993,-10.5,-0.050000000000000044,2.5999999999999996,225.00000000000006,-977.5000000000005,127755.0,-2932.5
2976,11721.3,11692.75,11719.1,11699.8,2019-06-19 12:15:00+05:30,11726.850677806073,41.08372151497888,23.746428571428755,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,14.65,100.5,1.05,12.15,-1.0,-1.0,1.0,1.0,-14.65,-100.5,1.05,12.15,0.0,0.0,0.0,0.0,-16.95,-87.65,1.1,8.8,-2.299999999999999,12.849999999999994,0.050000000000000044,-3.3499999999999996,-362.49999999999983,-1340.0000000000002,127392.5,-2932.5
