,Date,Daily Brokerage,Signals
94,2019-05-21,80,"beginx, hold, squareoff"
95,2019-05-22,140,"beginx, hold, hard-squareoff, sell"
96,2019-05-23,140,"beginx, hold, hard-squareoff, sell"
97,2019-05-24,80,"beginx, hold, squareoff"
98,2019-05-27,80,"beginx, hold, squareoff"
99,2019-05-28,140,"beginx, squareoff, hold, sell"
100,2019-05-29,140,"beginx, squareoff, hold, sell"
101,2019-05-30,80,"beginx, hold, squareoff"
102,2019-05-31,80,"beginx, hold, hard-squareoff"
103,2019-06-03,220,"beginx, squareoff, hold, buy"
104,2019-06-04,80,"beginx, hold, squareoff"
105,2019-06-06,80,"beginx, hold, squareoff"
106,2019-06-07,80,"beginx, hold, squareoff"
107,2019-06-10,80,"beginx, hold, squareoff"
108,2019-06-11,80,"beginx, hold, squareoff"
109,2019-06-12,80,"beginx, hold, squareoff"
110,2019-06-13,140,"beginx, squareoff, hold, buy"
111,2019-06-14,140,"beginx, squareoff, hold, sell"
112,2019-06-17,80,"beginx, hold, squareoff"
113,2019-06-18,140,"beginx, squareoff, hold, sell"
114,2019-06-19,140,"beginx, squareoff, hold, sell"
115,2019-06-20,220,"beginx, squareoff, hold, buy"
116,2019-06-21,80,"beginx, hold, squareoff"
117,2019-06-24,140,"beginx, squareoff, hold, sell"
118,2019-06-25,220,"beginx, squareoff, hold, buy"
119,2019-06-26,140,"beginx, squareoff, hold, buy"
120,2019-06-27,80,"beginx, hold, squareoff"
121,2019-06-28,80,"beginx, hold, squareoff"
122,2019-07-01,140,"beginx, squareoff, hold, buy"
123,2019-07-02,140,"beginx, squareoff, hold, buy"
124,2019-07-03,140,"beginx, squareoff, hold, buy"
125,2019-07-04,140,"beginx, squareoff, hold, buy"
126,2019-07-05,220,"beginx, squareoff, hold, sell"
127,2019-07-08,80,"beginx, hold, hard-squareoff"
128,2019-07-09,140,"beginx, squareoff, hold, buy"
129,2019-07-10,140,"beginx, squareoff, hold, sell"
130,2019-07-11,80,"beginx, hold, squareoff"
131,2019-07-12,220,"beginx, squareoff, hold, buy"
132,2019-07-15,80,"beginx, hold, squareoff"
133,2019-07-16,80,"beginx, hold, squareoff"
134,2019-07-17,80,"beginx, hold, squareoff"
135,2019-07-18,220,"beginx, squareoff, hold, sell"
136,2019-07-19,80,"beginx, hold, squareoff"
137,2019-07-22,80,"beginx, hold, squareoff"
138,2019-07-23,220,"beginx, squareoff, hold, buy"
139,2019-07-24,140,"beginx, squareoff, hold, sell"
140,2019-07-25,140,"beginx, squareoff, hold, sell"
141,2019-07-26,80,"beginx, hold, squareoff"
142,2019-07-29,80,"beginx, hold, squareoff"
143,2019-07-30,220,"beginx, squareoff, hold, sell"
